13,0.3522
46,0.293
35,0.3076
1,0.4076
5,0.3948
2,0.404
4,0.395
20,0.3452
18,0.3472
15,0.3486
9,0.3624
25,0.3356
24,0.339
14,0.3492
11,0.3568
42,0.2992
41,0.2994
29,0.3274
28,0.3286
44,0.294
45,0.2932
32,0.3132
30,0.3228
51,0.2736
51,0.2736
53,0.2722
54,0.2716
26,0.3328
23,0.3408
16,0.3484
12,0.3536
37,0.3064
35,0.3076
39,0.304
31,0.3146
49,0.28040000000000004
40,0.3012
50,0.2758
43,0.2956
57,0.2526
55,0.2636
38,0.3046
33,0.31
7,0.3676
59,0.2444
56,0.254
48,0.2854
47,0.2856
19,0.346
6,0.3816
27,0.332
10,0.3582
21,0.3434
8,0.364
22,0.3422
16,0.3484
34,0.30837863530949
3,0.398416237752586
60,0.20078723854811387
58,0.25080923433399155
